Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2020-03-05,1154.0,1164.45,1145.0,1151.65,1155.39,1468666.0,14379.0,1696888107.0,1138241.0,77.5,19.45,-2.35
2020-03-04,1179.0,1179.95,1133.3,1148.95,1152.87,421145.0,20176.0,485525483.0,259533.0,61.63,46.65,-30.05
2020-03-03,1180.0,1185.7,1168.15,1181.3,1177.64,600004.0,22664.0,706588950.0,381293.0,63.55,17.55,1.3
2020-03-02,1195.0,1200.05,1167.0,1182.15,1184.96,478321.0,20852.0,566790851.0,346466.0,72.43,33.05,-12.85
2020-02-28,1179.8,1184.85,1170.1,1177.6,1177.01,298612.0,13917.0,351468617.0,186572.0,62.48,14.75,-2.2
2020-02-27,1200.0,1202.5,1181.0,1199.35,1190.55,933802.0,16055.0,1111739776.0,801308.0,85.81,21.5,-0.65
2020-02-26,1200.0,1204.2,1186.0,1199.65,1192.59,467136.0,10063.0,557101994.0,372737.0,79.79,18.2,-0.35
2020-02-25,1210.0,1210.0,1198.0,1200.25,1201.06,119546.0,5479.0,143581533.0,53477.0,44.73,12.0,-9.75
2020-02-24,1214.0,1214.0,1200.3,1210.0,1204.83,473035.0,8657.0,569928247.0,415891.0,87.92,13.7,-4.0
2020-02-20,1228.0,1228.95,1214.35,1217.3,1221.24,115183.0,6081.0,140666033.0,58480.0,50.77,14.6,-10.7
2020-02-19,1216.0,1229.7,1214.1,1226.1,1221.51,92646.0,4729.0,113167758.0,39438.0,42.57,15.6,10.1
2020-02-18,1215.0,1218.0,1204.0,1213.55,1209.44,102598.0,4978.0,124085817.0,50611.0,49.33,14.0,-1.45
2020-02-17,1225.8,1232.8,1214.05,1216.8,1222.96,108348.0,5288.0,132504805.0,47326.0,43.68,18.75,-9.0
2020-02-14,1243.2,1249.0,1215.0,1219.25,1223.64,229943.0,12129.0,281368134.0,119505.0,51.97,34.0,-23.95
2020-02-13,1263.8,1263.8,1233.4,1241.2,1237.12,1851986.0,5762.0,2291135192.0,1790677.0,96.69,30.4,-22.6
2020-02-12,1244.0,1252.8,1244.0,1249.05,1249.46,77888.0,4068.0,97318105.0,34957.0,44.88,8.8,5.05
2020-02-11,1240.1,1255.3,1238.6,1240.05,1247.25,102899.0,4473.0,128341125.0,45984.0,44.69,16.7,-0.05
2020-02-10,1246.7,1246.7,1226.0,1240.2,1236.33,873512.0,6127.0,1079946962.0,808312.0,92.54,20.7,-6.5
2020-02-07,1242.15,1246.7,1232.0,1241.9,1238.01,106272.0,3781.0,131566079.0,40130.0,37.76,14.7,-0.25
